Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-1291D-RN;7ET1291DRN;ESTREITO;Petrobras;4,8E+14;2020/11;7,9631;0;7,9631;701
Rio Grande do Norte;Potiguar;7-ET-1293D-RN;7ET1293DRN;ESTREITO;Petrobras;4,8E+14;2020/11;2,5375;0;2,5375;717
Rio Grande do Norte;Potiguar;7-ET-1280D-RN;7ET1280DRN;ESTREITO;Petrobras;4,8E+14;2020/11;7,6576;0;7,6576;720
Rio Grande do Norte;Potiguar;7-ET-1296D-RN;7ET1296DRN;ESTREITO;Petrobras;4,8E+14;2020/11;3,3512;0;3,3512;717
Rio Grande do Norte;Potiguar;7-ET-1123D-RN;7ET1123DRN;ESTREITO;Petrobras;4,8E+14;2020/11;7,9958;0;7,9958;720
Rio Grande do Norte;Potiguar;7-ET-1292D-RN;7ET1292DRN;ESTREITO;Petrobras;4,8E+14;2020/11;23,4817;0;23,4817;720
Rio Grande do Norte;Potiguar;7-ET-1302-RN;7ET1302RN;ESTREITO;Petrobras;4,8E+14;2020/11;17,3559;0;17,3559;720
Rio Grande do Norte;Potiguar;7-ET-1295-RN;7ET1295RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5314;0;1,5314;720
Rio Grande do Norte;Potiguar;7-ET-400-RN;7ET  0400  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1290D-RN;7ET1290DRN;ESTREITO;Petrobras;4,8E+14;2020/11;3,633;0;3,633;720
Rio Grande do Norte;Potiguar;7-ET-1304-RN;7ET1304RN;ESTREITO;Petrobras;4,8E+14;2020/11;20,8914;0;20,8914;720
Rio Grande do Norte;Potiguar;7-ET-1298-RN;7ET1298RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,2454;0;4,2454;621
Rio Grande do Norte;Potiguar;7-ET-1306-RN;7ET1306RN;ESTREITO;Petrobras;4,8E+14;2020/11;3,1757;0;3,1757;720
Rio Grande do Norte;Potiguar;7-ET-1299-RN;7ET1299RN;ESTREITO;Petrobras;4,8E+14;2020/11;11,8297;0;11,8297;720
Rio Grande do Norte;Potiguar;7-ET-1301-RN;7ET1301RN;ESTREITO;Petrobras;4,8E+14;2020/11;31,6486;0;31,6486;720
Rio Grande do Norte;Potiguar;7-ET-1303-RN;7ET1303RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5314;0;1,5314;720
Rio Grande do Norte;Potiguar;7-ET-1309-RN;7ET1309RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1141-RN;7ET1141RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,0742;0;0,0742;111
Rio Grande do Norte;Potiguar;7-ET-1313-RN;7ET1313RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,0213;0;1,0213;720
Rio Grande do Norte;Potiguar;7-ET-1320D-RN;7ET1320DRN;ESTREITO;Petrobras;4,8E+14;2020/11;14,9203;0;14,9203;720
Rio Grande do Norte;Potiguar;7-ET-1294D-RN;7ET1294DRN;ESTREITO;Petrobras;4,8E+14;2020/11;4,5941;0;4,5941;720
Rio Grande do Norte;Potiguar;7-ET-1305D-RN;7ET1305DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,0213;0;1,0213;720
Rio Grande do Norte;Potiguar;7-ET-1300D-RN;7ET1300DRN;ESTREITO;Petrobras;4,8E+14;2020/11;8,6781;0;8,6781;720
Rio Grande do Norte;Potiguar;7-ET-1297D-RN;7ET1297DRN;ESTREITO;Petrobras;4,8E+14;2020/11;6,7492;0;6,7492;720
Rio Grande do Norte;Potiguar;7-ET-1307D-RN;7ET1307DRN;ESTREITO;Petrobras;4,8E+14;2020/11;18,887;0;18,887;720
Rio Grande do Norte;Potiguar;7-ET-1315D-RN;7ET1315DRN;ESTREITO;Petrobras;4,8E+14;2020/11;8,1675;0;8,1675;720
Rio Grande do Norte;Potiguar;1-SS-2-RN;1SS  0002  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;3-BRSA-1200-RN;3ET1020RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,9926;0;1,9926;720
Rio Grande do Norte;Potiguar;7-ET-1381D-RN;7ET1381DRN;ESTREITO;Petrobras;4,8E+14;2020/11;13,3067;0;13,3067;720
Rio Grande do Norte;Potiguar;7-ET-1134-RN;7ET1134RN;ESTREITO;Petrobras;4,8E+14;2020/11;30,2523;0;30,2523;720
Rio Grande do Norte;Potiguar;7-ET-1136-RN;7ET1136RN;ESTREITO;Petrobras;4,8E+14;2020/11;13,2723;0;13,2723;720
Rio Grande do Norte;Potiguar;7-ET-1651D-RN;7ET1651DRN;ESTREITO;Petrobras;4,8E+14;2020/11;2,7946;0;2,7946;720
